"D2015","D2015 - Nominal","K2015 ","D2020","D2020 - Nominal","T2020","BIEDRON","BOSAK","DUDA","HOŁOWNIA","JAKUBIAK","KOS-KAM","PIOTROWSKI","TANAJNO","TRZASK","WITK","ŻÓŁTEK","KO","KONF","PSL","PIS","SLD","NP","NoLegVot - T1 2020","NoLegVot - T2 2020","NoVoters - T1 2020","NoVoters - T2 2020","VotFreq T1 2020","VotFreq T2 2020"
73.22,"D",26.78,78.98,"D",21.02,1.03,5.66,70.5,8.91,0.07,3.28,0.03,0.1,10.23,0.07,0.13,5.04,3.45,19.42,67.21,4.88,,3037,3226,4717,4712,64.02,68.46
37.5,"T",62.5,33.47,"T",66.53,2.5,6.32,26.88,21.36,0.12,1.75,0.04,0.21,40.37,0.15,0.28,36.43,8.21,7.87,28.66,17.67,1.16,11771,12096,16805,16423,69.88,73.65
70.93,"D",29.07,72.26,"D",27.75,1.15,8.69,61.19,9.4,0.17,2.53,0.1,0.13,16.35,0.13,0.19,17.54,7.76,8.04,61.33,4.66,0.54,10157,10551,14903,14824,67.96,71.18
39.98,"T",60.02,53.06,"D",46.94,1.49,4.75,45.34,17.6,0.07,2.03,0.07,0.11,28.42,0.04,0.07,29.69,5.56,9.7,42.73,12.32,,2766,3070,5859,5794,47.02,52.99
65.56,"D",34.44,78.87,"D",21.13,1.19,6.66,69.71,5.38,0.17,4.78,0.09,0.17,11.77,0.0,0.09,13.67,5.02,11.16,62.42,7.35,0.37,1175,1287,2380,2379,49.24,54.1
45.45,"T",54.55,54.73,"D",45.27,1.49,7.19,45.68,16.88,0.61,4.08,0.09,0.0,23.67,0.04,0.26,16.78,7.16,23.47,43.73,8.88,,2287,2335,3668,3636,62.19,64.22
32.5,"T",67.5,31.35,"T",68.65,4.52,7.43,25.52,20.15,0.0,3.07,0.23,0.31,38.01,0.31,0.46,42.1,4.2,5.21,30.32,16.07,0.73,1314,1646,2077,2436,62.83,67.57
45.09,"T",54.91,49.3,"T",50.7,1.87,6.77,42.52,15.59,0.14,2.97,0.18,0.18,29.68,0.05,0.05,24.67,7.36,10.78,45.08,12.1,,2195,2420,4123,4187,53.04,57.8
82.13,"D",17.87,78.7,"D",21.3,0.6,8.38,70.96,7.6,0.09,2.04,0.03,0.12,9.97,0.03,0.18,9.3,8.38,8.82,70.42,3.08,,3341,3789,5645,5875,58.99,64.49
72.41,"D",27.59,76.54,"D",23.46,1.26,7.61,67.02,8.19,0.16,2.63,0.15,0.1,12.56,0.14,0.19,9.27,5.65,12.01,67.16,5.91,,8063,8636,13497,13483,59.5,64.05
